Rank,Country,Avg_Temp
155,Guatemala,17.31266318537859
156,Georgia,17.208181818181817
157,Bolivia,17.114797913950454
158,South Korea,16.953626943005183
159,Armenia,16.872315653298834
160,Portugal,16.866839378238343
161,San Marino,16.845454545454544
162,Turkey,16.68734587929916
163,Macedonia,16.632724902216427
164,Гватемала,15.9
165,Spain,15.763389391979302
166,Romania,15.607133592736705
167,Australia,15.377777777777776
168,Serbia,15.37464424320828
169,Mexico,14.744603381014304
170,North Korea,14.645784695201037
171,Bulgaria,14.634934991520634
172,Argentina,14.62970168612192
173,Uruguay,14.275518134715027
174,Croatia,14.176883116883118
175,New Zealand,13.988082901554403
176,Colombia,13.9
177,Hungary,13.62502831257078
178,Bhutan,13.62166018158236
179,Slovakia,13.448771021992238
180,France,13.335751295336788
181,Slovenia,13.06261319534282
182,Austria,12.948963730569949
183,Bosnia and Herzegovina,12.891073738680465
184,Belgium,12.528551724137932
185,Netherlands,12.421086675291074
186,Ukraine,12.266279069767442
187,United Kingdom,12.243968871595332
188,Germany,11.961060802069857
189,Poland,11.725710594315247
190,Czech Republic,11.136186770428015
191,Chile,10.962987012987012
192,Luxembourg,10.917272727272726
193,Denmark,10.89443005181347
194,Ireland,10.890779220779221
195,Ecuador,10.440104166666666
196,Switzerland,10.42332928311057
197,Liechtenstein,10.099222797927462
198,Latvia,9.900907911802854
199,Sweden,9.895725388601036
200,Belarus,9.87681347150259
201,Lithuania,9.62098445595855
202,Kazakhstan,9.290932642487046
203,Estonia,9.18793774319066
204,United States of America,8.92665799739922
205,Finland,8.912936610608021
206,Russia,8.902781136638453
207,Andorra,8.817335058214748
208,Norway,8.102432778489117
209,Iceland,5.588586251621272
210,Canada,5.426588845654993
211,Mongolia,4.539248704663213
